               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1161,            0.046323,            0.052674,                   0,                   0,                   0,                   0,             0.11874,            0.027719,            0.060318,              0.0964,              0.0004,              0.0004
                   1,             0.11607,            0.042822,            0.052402,                   0,                   0,                   0,                   0,             0.11553,            0.027655,            0.056385,            0.091722,           0.0007218,           0.0007218
                   2,             0.11032,            0.048289,            0.050325,                   0,                   0,                   0,                   0,              0.1128,            0.027802,            0.054266,            0.086846,           0.0008456,           0.0008456
                   3,             0.10559,            0.041989,            0.047675,                   0,                   0,                   0,                   0,             0.10779,            0.027969,            0.050155,            0.081771,           0.0007714,           0.0007714
                   4,             0.10348,            0.051121,            0.047079,                   0,                   0,                   0,                   0,             0.10496,            0.028208,            0.048849,            0.076499,           0.0004992,           0.0004992
