               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11621,            0.045742,            0.052054,                   0,                   0,                   0,                   0,             0.11924,            0.027677,             0.05943,              0.0919,              0.0009,              0.0009
                   1,             0.11226,            0.044767,            0.050977,                   0,                   0,                   0,                   0,              0.1158,             0.02789,            0.054764,            0.082881,           0.0018812,           0.0018812
                   2,             0.10637,            0.051479,            0.047843,                   0,                   0,                   0,                   0,             0.10851,            0.028718,            0.050832,            0.073843,           0.0028426,           0.0028426
                   3,            0.098423,            0.042931,            0.041509,                   0,                   0,                   0,                   0,              0.1008,            0.028988,            0.045502,            0.064784,           0.0037842,           0.0037842
                   4,            0.096832,            0.049869,            0.041983,                   0,                   0,                   0,                   0,              0.1008,            0.028988,            0.045502,            0.055706,            0.004706,            0.004706
                   5,            0.098098,            0.056406,            0.039087,                   0,                   0,                   0,                   0,             0.09162,            0.030611,            0.038683,            0.046608,           0.0056079,           0.0056079
                   6,            0.095039,            0.061327,            0.036619,                   0,                   0,                   0,                   0,             0.09162,            0.030611,            0.038683,             0.03749,           0.0064901,           0.0064901
                   7,            0.091842,            0.056572,            0.034862,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,            0.028353,           0.0073525,           0.0073525
                   8,            0.089236,            0.049819,            0.030079,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,            0.019195,           0.0081951,           0.0081951
                   9,            0.096659,             0.06126,            0.030267,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,            0.010018,           0.0090179,           0.0090179
                  10,            0.087729,            0.053205,            0.029456,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,             0.00901,             0.00901,             0.00901
                  11,            0.086672,            0.046767,            0.024672,             0.92671,                 0.5,               0.745,             0.28097,            0.088669,            0.026227,            0.020872,             0.00901,             0.00901,             0.00901
                  12,            0.096678,            0.055207,            0.028113,             0.92671,                 0.5,               0.745,             0.28097,            0.088669,            0.026227,            0.020872,            0.008911,            0.008911,            0.008911
                  13,            0.093843,            0.053577,            0.025736,             0.92671,                 0.5,               0.745,             0.28097,            0.088669,            0.026227,            0.020872,            0.008812,            0.008812,            0.008812
                  14,            0.089349,            0.049003,            0.021526,             0.62175,                   1,             0.82833,             0.35012,            0.089692,            0.024568,            0.017569,            0.008713,            0.008713,            0.008713
                  15,            0.087691,            0.050948,            0.020812,             0.62175,                   1,             0.82833,             0.35012,            0.089692,            0.024568,            0.017569,            0.008614,            0.008614,            0.008614
                  16,            0.089862,            0.051959,            0.021486,             0.62175,                   1,             0.82833,             0.35012,            0.089692,            0.024568,            0.017569,            0.008515,            0.008515,            0.008515
                  17,            0.083632,            0.055805,            0.019554,             0.88393,                 0.5,             0.53667,             0.27398,            0.081459,            0.023967,            0.014987,            0.008416,            0.008416,            0.008416
                  18,            0.085887,            0.058684,            0.018299,             0.88393,                 0.5,             0.53667,             0.27398,            0.081459,            0.023967,            0.014987,            0.008317,            0.008317,            0.008317
                  19,             0.08835,            0.049623,            0.018212,             0.88393,                 0.5,             0.53667,             0.27398,            0.081459,            0.023967,            0.014987,            0.008218,            0.008218,            0.008218
                  20,            0.086273,            0.048363,            0.017332,                   1,             0.94613,               0.995,             0.33167,            0.089466,            0.019763,            0.010432,            0.008119,            0.008119,            0.008119
                  21,            0.091714,             0.04252,            0.014979,                   1,             0.94613,               0.995,             0.33167,            0.089466,            0.019763,            0.010432,             0.00802,             0.00802,             0.00802
                  22,            0.090938,            0.045477,            0.014743,                   1,             0.94613,               0.995,             0.33167,            0.089466,            0.019763,            0.010432,            0.007921,            0.007921,            0.007921
                  23,            0.093334,            0.039948,            0.014199,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007822,            0.007822,            0.007822
                  24,            0.094855,             0.04141,            0.012094,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007723,            0.007723,            0.007723
                  25,            0.090146,            0.038665,             0.01264,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007624,            0.007624,            0.007624
                  26,            0.092865,            0.040818,            0.012999,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007525,            0.007525,            0.007525
                  27,            0.096139,            0.038364,            0.011316,             0.64115,                 0.5,             0.58591,             0.28886,            0.094892,            0.015745,           0.0076215,            0.007426,            0.007426,            0.007426
                  28,             0.09256,             0.04561,            0.011908,             0.64115,                 0.5,             0.58591,             0.28886,            0.094892,            0.015745,           0.0076215,            0.007327,            0.007327,            0.007327
                  29,            0.090599,            0.037657,            0.010629,             0.64115,                 0.5,             0.58591,             0.28886,            0.094892,            0.015745,           0.0076215,            0.007228,            0.007228,            0.007228
                  30,            0.094629,            0.043801,            0.011285,             0.58157,                 0.5,               0.595,             0.30868,            0.086314,            0.015704,           0.0067302,            0.007129,            0.007129,            0.007129
                  31,            0.091231,            0.041515,            0.010524,             0.58157,                 0.5,               0.595,             0.30868,            0.086314,            0.015704,           0.0067302,             0.00703,             0.00703,             0.00703
                  32,            0.089733,            0.034568,           0.0099797,             0.58157,                 0.5,               0.595,             0.30868,            0.086314,            0.015704,           0.0067302,            0.006931,            0.006931,            0.006931
                  33,            0.088854,            0.033986,            0.008872,             0.47405,                 0.5,             0.60611,             0.24291,            0.092255,            0.013663,           0.0056091,            0.006832,            0.006832,            0.006832
                  34,            0.084387,            0.031647,           0.0085548,             0.47405,                 0.5,             0.60611,             0.24291,            0.092255,            0.013663,           0.0056091,            0.006733,            0.006733,            0.006733
                  35,            0.090855,            0.034708,           0.0096243,             0.47405,                 0.5,             0.60611,             0.24291,            0.092255,            0.013663,           0.0056091,            0.006634,            0.006634,            0.006634
                  36,            0.086397,            0.036076,           0.0084675,             0.58752,                   1,             0.82833,             0.48022,            0.077944,            0.013297,           0.0054536,            0.006535,            0.006535,            0.006535
                  37,            0.076504,            0.032858,           0.0087924,             0.58752,                   1,             0.82833,             0.48022,            0.077944,            0.013297,           0.0054536,            0.006436,            0.006436,            0.006436
                  38,            0.077884,            0.035599,           0.0079018,             0.58752,                   1,             0.82833,             0.48022,            0.077944,            0.013297,           0.0054536,            0.006337,            0.006337,            0.006337
