               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.095553,            0.026045,           0.0078158,             0.37383,                   1,              0.4475,             0.12342,             0.10315,            0.011157,           0.0043607,           0.0092872,           0.0092872,           0.0092872
                  38,            0.099558,            0.028024,            0.006713,             0.37383,                   1,              0.4475,             0.12342,             0.10315,            0.011157,           0.0043607,           0.0092674,           0.0092674,           0.0092674
                  39,             0.10001,            0.027929,           0.0071379,             0.88701,                 0.5,             0.66167,             0.26718,             0.10367,            0.010301,            0.003928,           0.0092476,           0.0092476,           0.0092476
                  40,            0.097946,            0.028149,           0.0069142,             0.88701,                 0.5,             0.66167,             0.26718,             0.10367,            0.010301,            0.003928,           0.0092278,           0.0092278,           0.0092278
                  41,            0.095824,            0.028741,           0.0061958,             0.88701,                 0.5,             0.66167,             0.26718,             0.10367,            0.010301,            0.003928,            0.009208,            0.009208,            0.009208
                  42,             0.09616,            0.031479,           0.0074828,             0.88701,                 0.5,             0.66167,             0.26718,             0.10367,            0.010301,            0.003928,           0.0091882,           0.0091882,           0.0091882
                  43,            0.099202,            0.026606,           0.0055265,                   1,             0.89278,               0.995,             0.45433,             0.10371,           0.0095315,           0.0037094,           0.0091684,           0.0091684,           0.0091684
                  44,             0.10233,            0.023433,            0.006009,                   1,             0.89278,               0.995,             0.45433,             0.10371,           0.0095315,           0.0037094,           0.0091486,           0.0091486,           0.0091486
                  45,            0.099009,            0.026085,            0.006368,                   1,             0.89278,               0.995,             0.45433,             0.10371,           0.0095315,           0.0037094,           0.0091288,           0.0091288,           0.0091288
                  46,            0.094233,            0.027348,            0.005893,             0.79577,                   1,               0.995,             0.45545,            0.093548,            0.010002,           0.0036752,            0.009109,            0.009109,            0.009109
                  47,            0.092002,            0.024777,           0.0057158,             0.79577,                   1,               0.995,             0.45545,            0.093548,            0.010002,           0.0036752,           0.0090892,           0.0090892,           0.0090892
                  48,            0.090912,            0.032032,           0.0059443,             0.79577,                   1,               0.995,             0.45545,            0.093548,            0.010002,           0.0036752,           0.0090694,           0.0090694,           0.0090694
                  49,            0.092521,            0.033381,           0.0058174,             0.49548,                   1,             0.82833,             0.48001,            0.080561,             0.01192,            0.004182,           0.0090496,           0.0090496,           0.0090496
                  50,            0.084588,            0.035743,            0.005983,             0.49548,                   1,             0.82833,             0.48001,            0.080561,             0.01192,            0.004182,           0.0090298,           0.0090298,           0.0090298
                  51,            0.086521,            0.025436,           0.0059724,             0.49548,                   1,             0.82833,             0.48001,            0.080561,             0.01192,            0.004182,             0.00901,             0.00901,             0.00901
                  52,            0.085233,            0.030612,           0.0060992,             0.96857,                   1,               0.995,             0.44756,            0.076873,             0.01176,           0.0056372,           0.0089902,           0.0089902,           0.0089902
                  53,            0.077668,             0.03349,            0.006564,             0.96857,                   1,               0.995,             0.44756,            0.076873,             0.01176,           0.0056372,           0.0089704,           0.0089704,           0.0089704
                  54,            0.082337,            0.035122,           0.0067003,             0.96857,                   1,               0.995,             0.44756,            0.076873,             0.01176,           0.0056372,           0.0089506,           0.0089506,           0.0089506
                  55,             0.08459,            0.031764,           0.0061935,             0.51294,                   1,             0.82833,             0.37871,            0.081967,           0.0095027,           0.0031192,           0.0089308,           0.0089308,           0.0089308
                  56,            0.088096,            0.025672,           0.0049303,             0.51294,                   1,             0.82833,             0.37871,            0.081967,           0.0095027,           0.0031192,            0.008911,            0.008911,            0.008911
                  57,            0.088029,            0.029398,           0.0047443,             0.51294,                   1,             0.82833,             0.37871,            0.081967,           0.0095027,           0.0031192,           0.0088912,           0.0088912,           0.0088912
                  58,             0.08998,            0.034035,           0.0054409,             0.51294,                   1,             0.82833,             0.37871,            0.081967,           0.0095027,           0.0031192,           0.0088714,           0.0088714,           0.0088714
                  59,            0.090259,            0.025818,           0.0049673,             0.66618,                 0.5,               0.695,             0.37264,            0.088758,           0.0089277,           0.0028007,           0.0088516,           0.0088516,           0.0088516
                  60,            0.099377,            0.025485,           0.0042087,             0.66618,                 0.5,               0.695,             0.37264,            0.088758,           0.0089277,           0.0028007,           0.0088318,           0.0088318,           0.0088318
                  61,            0.081362,            0.022605,           0.0045409,             0.66618,                 0.5,               0.695,             0.37264,            0.088758,           0.0089277,           0.0028007,            0.008812,            0.008812,            0.008812
                  62,            0.084485,            0.025929,           0.0037559,             0.49317,                   1,             0.82833,             0.40074,            0.079119,           0.0089863,           0.0026036,           0.0087922,           0.0087922,           0.0087922
                  63,            0.089077,            0.028995,           0.0039646,             0.49317,                   1,             0.82833,             0.40074,            0.079119,           0.0089863,           0.0026036,           0.0087724,           0.0087724,           0.0087724
                  64,            0.089323,            0.025708,           0.0049268,             0.49317,                   1,             0.82833,             0.40074,            0.079119,           0.0089863,           0.0026036,           0.0087526,           0.0087526,           0.0087526
                  65,             0.08812,            0.025372,           0.0047195,                   1,             0.89935,               0.995,             0.35217,            0.084503,           0.0085283,           0.0024815,           0.0087328,           0.0087328,           0.0087328
